customer_id,total_transactions,days_as_customer,total_spent,days_since_last_purchase,purchase_count,transactions_per_month,avg_spend_per_transaction,lifetime_value_per_month,engagement_tier,spend_quartile,recency_score,frequency_score,monetary_score,rfm_score
101,12,365,25000,10,12,0.9863013698630138,2083.3333333333335,2054.7945205479455,Low,Q1,4,2,2,8
102,35,90,90000,45,35,11.666666666666666,2571.4285714285716,30000.0,High,Q3,2,4,4,10
103,5,180,7500,90,5,0.8333333333333334,1500.0,1250.0,Low,Q1,1,1,1,3
104,50,120,180000,5,50,12.5,3600.0,45000.0,High,Q4,5,5,5,15
105,18,450,45000,20,18,1.2,2500.0,3000.0,Low,Q2,3,3,3,9
106,8,30,12000,60,8,8.0,1500.0,12000.0,Medium,Q1,1,1,1,3
107,27,600,68000,15,27,1.35,2518.5185185185187,3400.0,Low,Q3,3,3,3,9
108,40,90,150000,8,40,13.333333333333334,3750.0,50000.0,High,Q4,4,4,4,12
109,15,300,30000,35,15,1.5,2000.0,3000.0,Low,Q2,2,2,2,6
110,60,60,250000,2,60,30.0,4166.666666666667,125000.0,High,Q4,5,5,5,15
