aggregation_date,total_transactions,total_revenue,average_transaction,updated_at
2025-01-15,1,250,250.0,2026-08-05 13:40:39.178623
2025-01-18,1,400,400.0,2026-08-05 13:40:39.178623
2025-01-20,1,300,300.0,2026-08-05 13:40:39.178623
2025-02-02,1,450,450.0,2026-08-05 13:40:39.178623
2025-02-10,1,500,500.0,2026-08-05 13:40:39.178623
2025-02-18,1,200,200.0,2026-08-05 13:40:39.178623
2025-03-01,1,350,350.0,2026-08-05 13:40:39.178623
2025-03-10,1,600,600.0,2026-08-05 13:40:39.178623
2025-03-15,1,700,700.0,2026-08-05 13:40:39.178623
2025-03-28,1,550,550.0,2026-08-05 13:40:39.178623
